Koordinatensystem : Lambert konform konisch
Rechtswert        : 4218500 Meter
Hochwert          : 2850500 Meter
Hoehenlage        : 45 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4218500 2850500  1  1  1  -8.4 1014 130  4.1 0  1.5  75    0    0 182 -291  0
4218500 2850500  1  1  2  -8.9 1014 129  4.4 0  1.5  75    0    0 181 -291  0
4218500 2850500  1  1  3  -9.5 1014 126  4.1 0  1.4  75    0    0 179 -290  0
4218500 2850500  1  1  4 -10.0 1013 132  3.8 0  1.4  76    0    0 178 -289  0
4218500 2850500  1  1  5 -10.6 1013 117  3.7 0  1.3  77    0    0 176 -289  0
4218500 2850500  1  1  6 -11.1 1012 129  3.7 0  1.3  78    0    0 174 -289  0
4218500 2850500  1  1  7 -11.4 1011 136  3.6 0  1.3  78    0    0 172 -291  0
4218500 2850500  1  1  8 -12.0 1011 144  3.6 1  1.2  79    0    0 175 -292  0
4218500 2850500  1  1  9 -11.5 1010 139  3.5 2  1.2  79    0    3 186 -292  0
4218500 2850500  1  1 10 -10.3 1009 148  4.2 5  1.3  78    4   44 211 -294  0
4218500 2850500  1  1 11  -9.5 1009 155  3.8 6  1.3  74    0   50 239 -297  0
4218500 2850500  1  1 12  -8.2 1008 151  3.7 7  1.4  72    0   42 255 -300  0
4218500 2850500  1  1 13  -7.5 1006 157  3.5 7  1.5  70    0   42 263 -302  0
4218500 2850500  1  1 14  -6.9 1005 157  3.3 7  1.6  71    0   35 261 -304  0
4218500 2850500  1  1 15  -6.2 1003 155  3.4 8  1.7  74    0   17 268 -305  0
4218500 2850500  1  1 16  -5.5 1002 152  3.8 8  1.8  74    0    5 277 -306  0
4218500 2850500  1  1 17  -5.1 1001 144  3.8 8  2.0  77    0    0 280 -306  0
4218500 2850500  1  1 18  -4.6 1000 140  4.3 8  2.1  80    0    0 282 -306  0
4218500 2850500  1  1 19  -3.7  998 144  3.8 8  2.3  83    0    0 284 -307  0
4218500 2850500  1  1 20  -3.0  996 145  4.3 8  2.6  86    0    0 288 -308  0
