Koordinatensystem : Lambert konform konisch
Rechtswert        : 4218500 Meter
Hochwert          : 2850500 Meter
Hoehenlage        : 45 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4218500 2850500  1  1  1   0.6 1020 244  3.4 7  3.7  94    0    0 283 -312  2
4218500 2850500  1  1  2   0.3 1020 268  3.3 7  3.7  97    0    0 283 -312  2
4218500 2850500  1  1  3   0.1 1020 286  3.3 7  3.7  99    0    0 277 -312  2
4218500 2850500  1  1  4   0.2 1020 287  3.1 7  3.7  99    0    0 283 -312  2
4218500 2850500  1  1  5   0.2 1019 288  3.1 7  3.8  99    0    0 289 -313  2
4218500 2850500  1  1  6   0.2 1019 297  3.1 7  3.8  99    0    0 284 -313  2
4218500 2850500  1  1  7   0.3 1019 288  3.0 8  3.8  99    0    0 288 -312  2
4218500 2850500  1  1  8   0.4 1019 300  2.9 8  3.8  99    0    0 293 -312  2
4218500 2850500  1  1  9   0.5 1019 300  3.0 8  3.8  99    0    4 292 -311  2
4218500 2850500  1  1 10   0.6 1019 291  3.1 7  3.8  97    2   39 287 -312  2
4218500 2850500  1  1 11   0.8 1019 290  3.6 6  3.8  95    1   62 278 -314  2
4218500 2850500  1  1 12   0.5 1019 287  3.3 8  3.7  94    0   44 281 -315  2
4218500 2850500  1  1 13   0.5 1019 286  3.4 7  3.7  95    0   56 286 -315  2
4218500 2850500  1  1 14   0.1 1019 268  2.6 8  3.7  96    0   16 286 -316  2
4218500 2850500  1  1 15   0.1 1019 278  2.3 8  3.7  98    0   17 290 -316  2
4218500 2850500  1  1 16   0.2 1019 278  2.0 7  3.7  98    0    3 286 -316  2
4218500 2850500  1  1 17   0.2 1019 285  1.6 7  3.7  98    0    0 282 -316  2
4218500 2850500  1  1 18   0.1 1019 258  1.3 8  3.7  98    0    0 284 -316  2
4218500 2850500  1  1 19   0.0 1020 360  1.0 8  3.7  98    0    0 286 -316  2
4218500 2850500  1  1 20   0.1 1020 148  1.7 8  3.7  99    0    0 286 -316  2
4218500 2850500  1  1 21   0.1 1020 134  1.8 8  3.7  99    0    0 287 -316  2
4218500 2850500  1  1 22   0.1 1020 119  2.1 8  3.7  99    0    0 288 -316  2
4218500 2850500  1  1 23   0.0 1021 110  2.6 8  3.7  99    0    0 289 -315  2
4218500 2850500  1  1 24  -0.2 1021 119  2.7 8  3.7  99    0    0 290 -315  2
4218500 2850500  1  2  1  -0.4 1022 116  2.9 8  3.7  99    0    0 292 -315  2
4218500 2850500  1  2  2  -0.6 1022 111  2.4 8  3.6  99    0    0 292 -315  2
4218500 2850500  1  2  3  -1.0 1022 118  1.6 6  3.5  98    0    0 283 -315  2
4218500 2850500  1  2  4  -0.9 1022  89  2.2 6  3.5  99    0    0 275 -314  2
4218500 2850500  1  2  5  -0.5 1022  78  2.8 7  3.5  99    0    0 278 -313  2
